ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ቀለበት,ቀለበት,ring ,ቀለበት /k′#l#b#t/ ስ/n. (ቀለበት) ring ,
ቀለዋ,ቀለቡየ,Maesa lanceolata,ቀለቡየ /k′#l#bbuyy#/ ስ/n. (ቀለዋ፣ቀላዎ) medium-sized tree whose fruits are used for scabies (Maesa lanceolata),
ቀለብ,ቀለብ,ration ,ቀለብ /k′#ll#b/ ስ/n. (ቀለብ) ration የዎረ ቀለብ (የወር ቀለብ) a month's food ration ,
ያዘ,ቀለብ ኣበሎ,catch,"ቀለብ ኣበሎ /k′#l#bb ab«lo/ ግ/v. [k′#l#bb yablu, k′#l#bb  abël, k′#l#bb wabël] (ቀለበ፣ያዘ) catch (in mid air) ኳሲ ባየር እናለ ቀለብ ኣበኩንትን፡፡ (ኳሱን ኣየር ላይ እንዳለ ቀለብ ኣደረግኩት፡፡) I caught the ball while it was in mid air. ",
,ቀለቦ ,,ቀለቦ /k′#ll#bo/ ተመልከት see ቀለብ ኣበሎ k′#l#bb ab«lo  ,
,ቀለንሽሻ,,ቀለንሽሻ /k'«l«nš³šša/ ተመልከት see እዌ ëwwe ,
ኣንካሴ,ቀለጥ,spear ,ቀለጥ /k'«l«t'/ ስ/n. (ኣንካሴ፣ጦር) spear ,
ጦስ,ቀለፋት,ill effects,"ቀለፋት /k′äl#ffat/ ስ/n. (ጦስ፣መዘዝ) cause, ill effects የሌቢ ቀለፋት ለሌላ ተረፎ፡፡ (የሌባው ጦስ ለሌላው ተረፈ::) The ill effect of the thief made another innocent person a victim. ",
ቀላል,ቀላል,light,"ቀላል1 /k′ällal/ ቅ/adj./ለክብደት/for weight (ቀላል) light, not heavy ግንዲ ቀላልን:: (ግንዱ ቀላል ነው::) The log is light. ",
ቀላል,ቀላል,easy,ቀላል2 /k′#llal/ ቅ/adj. (ቀላል፣ለመረዳት የማያስቸግር) easy (to understand)  ,
ወላድ,ቀላማ,fecund,"ቀላማ /k′älama/ ቅ/adj. (ወላድ ሴት) a fecund, fertile woman ",
መጠነኛ,ቀላኘ,medium-sized ,ቀላኘ /k′ällaññ#/ ቅ/adj. (መጠነኛ) medium-sized ,
ቀላጤ ,ቀላጤ ,የፅሁፍ ትእዛዝ,ቀላጤ /k′älat′e/ ስ/n.  (ቀላጤ፣ከህግ ኣካል የሚላክ የቃል ወይም የፅሁፍ ትእዛዝ) oral or written official order sent from an authority ,
ጥቂት,ቀል,few,"ቀል /k'«ll/ ቅ/adj. (ጥቂት) some, few ኳ በቀል ዋጋ መንግጅ ቀረሶ፡፡ (እሱ በጥቂት ገንዘብ ንግድ ጀመረ፡፡) He started business just with some money. ",
ተብታባ,ቀልማዳ,stammerer,ቀልማዳ /k′#lmadda/ ቅ/adj. (ኮልታፋ፣ተብታባ) one who stammers or stutters ጉርዚ ምስ ቀልማዳን፡፡ (ሽማግሌው ኮልታፋ ናቸው::) The old man is a stammerer.  ,
,ቀልቀላ,,ቀልቀላ /k'«lk'«la/ ተመልከት see ስልቻ s³ll³čča,
,ቀልቃላ,,ቀልቃላ /k′älk′alla/ ተመልከት see ቀውቃዋ k′#wk′awwa ,
,ቀልበቢስ,,ቀልበቢስ /k'#lb#bis/ ተመልከት see ልበቢስ l³bb#bis,
ቀልብ,ቀልብ,intelligence,"ቀልብ /k'#lb/ ስ/n. (ቀልብ፣ልብ) intelligence, mind ",
ጦጣ,ቀመሌ ,monkey,ቀመሌ /k′ämäle/ ስ/n. (ጦጣ) grivet monkey (Cercopithecus aethiops) ,
ቀመሰ,ቀመስ ኣበሎ,taste,"ቀመስ ኣበሎ /k′#mäss ab«lo/ ግ/v. [k′#mäss yablu, k′#mäss wabël] (ቀመሰ) taste (a bit of sth.) ",
,ቀመሶ,,ቀመሶ1 /kämmäso/ ተመልከት see ቀመስ ኣበሎ k′#mäss ab«lo,
ተቀጣ,ቀመሶ,,"ቀመሶ2 /k′ämmäso/ ግ/v. [yik'#msu, k'³m#s, wok'm³s] (ቀመሰ፣ተቀጣ) face a problem, pay for some wrong deed ",
,ቀመጦ,,"ቀመጦ /k′ämät′o/ ስ/n. (የወተት መጠጫ የስፌት እቃ {በኣለላና ሰበዝ የተሰራና በዛጐል የተጌጠ}) straw jug used to drink milk (shell decorated) ቁና ቀመጦ ኧፋት ሰጨሂ:: (ኣንድ ""ቀመጦ"" ወተት ጠጣሁኝ::) I drank one k′«m«t′o milk. ",
ቀሚስ,ቀሚስ,dress skirt ,"ቀሚስ /k′ämis/ ስ/n. (ቀሚስ) dress, skirt ",
ቀምበር,ቀምበረ,yoke ,ቀምበረ /k′ämbärrä/ ስ/n. (ቀምበር) yoke ,
ኣለሁ ኣለሁ ባይ,ቀምቢየት,showy,"ቀምቢየት /k′ämbiyät/ ቅ/adj. (ኣለሁ ኣለሁ ባይ) showy, boastful ኣታት ቀምቢየት ባይ ያለ ሰነኋን ዪስለላው፡፡ (ኣንዳንድ ኣቅሙን የማያውቅ ልጅ ኣለሁ ኣለሁ ይላል፡፡) Some boastful children are showy. ",
ተንጠራራ,ቀምቧ ቀምቧ ባሎ,overact ,"ቀምቧ ቀምቧ ባሎ /k′ämbwa k′ämbwa balo/ ግ/v. [k′ämbwa k′ämbwa yiblu, k′ämbwa k′ämbwa wob«l] (ተንጠራራ {ያለኣቅሙ}) overact ",
ስብር ኣለ,ቀምቧ ባሎ,be broken,"ቀምቧ ባሎ /k′ämbwa balo/ ግ/v. [k′ämbwa yiblu, k′ämbwa wob«l] (እንክት ኣለ፣ስብር ኣለ) be broken ሲኒ ዎደቀም ቀምቧ ባሎ፡፡ (ሲኒው ወድቆ እንክት ኣለ::) The cup broke as it fell.",
እምቡስ,ቀሞ,,ቀሞ /k′ämmo/ ስ/n. (ዘንጋዳ መሰል የእምቡስ ፍሬ) millet-like brown seeds of a forest tree called t'#la ቀሞ በሸሹም በመጠጡ ዪጨሙ:: (የእምቡስ ፍሬ ታሽቶ ሲመጠጥ ይጥማል::) Ripe seeds of t'#la tastes sweet when sucked. ,
ጀመረ,ቀረሶ,start,"ቀረሶ /k′ärräso/ ግ/v. [yik'«rsu, k'#r³s, wok'r³s] (ጀመረ) start, commence ኳ ዎዘላ ቀረሶ:: (እሱ ስራ ጀመረ፡፡) He  started working. ",
,ቀረሶ,commence,"ቀረሶ /k′ärräso/ ግ/v. [yik'«rsu, k'#r³s, wok'r³s] (ጀመረ) start, commence ኳ ዎዘላ ቀረሶ:: (እሱ ስራ ጀመረ፡፡) He  started working. ",
ቀረሮ,ቀረሮ,,ቀረሮ /k′äräro/ ስ/n. (ቀረሮ፣ለጣውላ ተፈላጊ የሆነ የጫካ ዛፍ) the name of a forest tree much sought for its timber.,
ኣከመ,ቀረሮ,treat ,"ቀረሮ1 /k′ärräro/ ግ/v. [yik'«rru, k'«rër, wok'rër] (ኣከመ {የሙላ ውልቃትን}) treat (dislocated hip bone) ወጌሺ ቀሪየ የወጣኒ ቦራ ቀረረንትን:: (ወጌሻው ሙላው የዎለቀውን በሬ ኣከመው፡፡) The bonesetter treated the injured hip bone of the ox ",
ጥርት ኣለ,ቀረሮ,get clear,"ቀረሮ2 /k′ärräro/ ግ/v./ለፈሳሽ/of liquids [yik'«rru, wok'rër] (ቀረረ፣ጥርት ኣለ) get clear ",
የቅርብ ዘመድ,ቀረበጌ ,relative,ቀረበጌ /k′är#bäge/ ስ/n. (የቅርብ ዘመድ) close blood relative ባርዴና ባዴቦ ቀረበጌነም:: (ባርዴና ባዴቦ የቅርብ ዘመዳሞች ናቸው::) Barde and Badebo are close relatives. ,
ቅርበት,ቀረቤታ,nearness,ቀረቤታ1 /k'#r#beta/ ስ/n. (ቅርበት) nearness ገየትኛ ለበቴስታኒ ቀረቤታ ዪነንት፡፡ (ቤታችን ለቤተክርስቲያኑ ቅርበት ኣለው፡፡) Our home is near the church.,
ቀረቤታ,ቀረቤታ,close relationship,ቀረቤታ2 /k'#r#beta/ ስ/n. (ቀረቤታ {የዝምድና፣የወዳጅነት}) close relationship (of relatives or friends) ,
,ቀረብ ባሎ,,ቀረብ ባሎ /k′äräbb balo/ ተመልከት see ቀረቦ k′«rr«bo ,
ተጠጋ,ቀረቦ,come nearer,"ቀረቦ1 /k′ärräbo/ ግ/v. [yik'«rbu, k'ër«b, wok'rëb] (ቀረበ፣ ተጠጋ) come closer, come nearer ባዪ ተሚተውይ ቀረቦ፡፡ (ልጁ ወደ እናቱ ተጠጋ፡፡) The boy near to his mother. ",
ተዘጋጀ,ቀረቦ,be ready,"ቀረቦ2 /k′ärräbo/ ግ/v. [yik'«rbu, ak'rëb, wak'rëb] (ቀረበ፣ ተዘጋጀ) be ready ከሸት ቀረቦ፡፡ (ምሳ ቀረበ፡፡) Lunch is ready.",
ቀረበ,ቀረቦ,appear,"ቀረቦ3 /k′ärräbo/ ግ/v. [yik'«rbu, k'ër«b,  wak'rëb] (ቀረበ {ፍርድ ቤት፣ሽማግሌ ፊት፣ለሽምግልና፣ ወዘተ.}) appear in court, etc.",
ቀረጥ,ቀረጥ, tax,"ቀረጥ /k′ärät′/ ስ/n. (ቀረጥ) tax, revenue ",
,ቀረጥ,revenue,"ቀረጥ /k′ärät′/ ስ/n. (ቀረጥ) tax, revenue ",
ቀረጠ,ቀረጦ,levy ,"ቀረጦ /k′ärräto/ ግ/v. [yik'#rt'u, k'³r#t' wok'r³t'] (ቀረጠ) tax, levy ",
 ቀራጭ , ቀራጭ ,tax collector, ቀራጭ /k'#rač′/ ስ/n. (ቀራጭ፣ የቀረጥ ገንዘብ ሰብሳቢ) tax collector ሻለሞ ቀራጭን፡፡ (ሻለሞ ቀራጭ ነው፡፡) Shalemo is a tax collector.  ,
ቀሪ,ቀሪ,remnant,"ቀሪ /k′äri/ ስ/n. (ቀሪ፣ተራፊ፣ተመላሽ) remnant, remainder ",
,ቀሪ,remainder ,"ቀሪ /k′äri/ ስ/n. (ቀሪ፣ተራፊ፣ተመላሽ) remnant, remainder ",
ቀሪቦ,ቀሪቦ,,ቀሪቦ /k′äribo/ ስ/n. (ቀሪቦ፣ጌሾ የሌለውና የማያሰክር ጠላ) non-alcoholic local beer ,
ሙላ ውልቃት,ቀሪየ,hip_bone dislocation  ,ቀሪየ /k′ärriyä/ ስ/n. (የእንሰሳት ሙላ ውልቃት) hip bone dislocation  ,
ቀንዳም,ቀራማ,large-horned,ቀራማ /k'#rramma/ ቅ/adj. (ቀንዳም) large-horned ቀራማ ኧላም (ቀንደ ረጃጅም ላም) a large-horned cow,
ቀራራ,ቀራራ,,ቀራራ /k′ärara/ ስ/n. (የኣረቄ ድፍድፍ ጠላ) local beer from the must of aräk'e  ,
ባለባላ ዘንግ,ቀራንቀሪየት,,ቀራንቀሪየት /k′ärank′ärriyät/ ቅ/adj. (ባለ ባላ ዘንግ ወይም ዛፍ) a stick or a tree with twin tips ምስጌን ቀራንቀሪየት በትር ዎዪዝ ዪዎዱ፡፡ (ቃልቻ ባለ ባላ ዘንግ መያዝ ይወዳል፡፡) A shaman  likes to have a stick with twin tips. ,
ጉብታ,ቀሬ,hillock,"ቀሬ1 /k'#rre/ ስ/n. (ጉብታ፣ከፍ ያለ ቦታ) hillock or small hill በቀሬ በቆሙ ማለቅይ ያሊዩ፡፡ (ጉብታ ላይ ከተቆመ ሩቅ ቦታ ይታያል፡፡) Standing on a hillock, one can see far and wide.",
መቀናጆ,ቀሬ,yokes,ቀሬ2 /k'#rre/ ስ/n. (መቀናጆ፣ኣጣማጅ {ለበሬ}) ox to be yoked with another one (for plowing) ቀሬ ቦራ ያለን ሰብ ተሌላ ሰብ ግቦ ያገባም ያርሱ፡፡ (መቀናጆ በሬ ያለው ሰው ከሌላ ሰው ጋር ኣቀናጅቶ ተራ በተራ ያርሳል፡፡) He who has an ox yokes it with another person's ox and plows in turns.,
ቀንድ,ቀር,horn ,ቀር /k'#rr/ ስ/n. (ቀንድ) horn (of animals),
ገበሎ,ቀርጮ, gecko,ቀርጮ /k'#rč'o/ ስ/n. (ገበሎ) gecko (a member of the lizard family) ,
ቅል,ቀርፌ,,ቀርፌ /k'«rfe/ ስ/n. (እህል መስፈሪያ ቅል) gourd used to measure grain  ,
ቀሰም,ቀሰም,spindle,ቀሰም /k′äsäm/ ስ/n. (ቀሰም) weaver's spindle ,
ቀሰስተኛ,ቀሰስተኘ,sickly,ቀሰስተኘ /k′äsästäññä/ ቅ/adj. (ቀሰስተኛ) weary and sickly ቀሰስተኘ ጉርዝ ምሽት (ቀሰስተኛ ኣሮጊት) a sickly old woman ,
ቀሳፊ,ቀሳፊ,killer ,ቀሳፊ /k′äsafi/ ቅ/adj. (ቀሳፊ፣ገዳይ) killer ,
,ቀስላ,succulent,"ቀስላ /k′äsla/ ስ/n. (ከመሬት በላይ የሚውለው የእንሰት ንብርብር ኣካል) the succulent (fleshy) segments of ässät found above the ground ቀስላ በፋቁጐይ ኧኩሳ ዪኮኑ:: (""ቀስላ"" ሲፋቅ ቆጮ ይሆናል፡፡) When k'#sla is processed the end product will be  #kussa. ",
ቀስት,ቀስት,arrow ,ቀስት /k′äst/ ስ/n. (ቀስት) arrow ,
ቀበሌ ,ቀበሌ ,,ቀበሌ /k′³b³le/ ስ/n. (ቀበሌ፣የተወሰነ ኣካባቢን የሚሸፍን የኣስተዳደር መዋቅር የታችኛው እርከን) administrative unit of a lower hierarchy covering a certain area ,
ጐደለ,ቀበሎ ,partially empty,"ቀበሎ /k'«bb«lo/ ግ/v./ለፈሳሽ/ of liquids [yik'«blu, wok'b³l] (ጐደለ) be partially empty የሻሚ ዪጋ ኧኩለው ቀበሎ፡፡ (የእንስራው ውሃ ግማሹ ጐደለ፡፡) The pot water is half empty.     ",
ቀበረ,ቀበሮ,bury,"ቀበሮ1 /k′äbb#ro/ ግ/v. [yik'«bru, k'³b«r, wok'b³r] (ቀበረ) bury ዉሲ ገራም የተረፈኒ በሰር ቀበሮ፡፡ (ውሻው ጠግቦ የተረፈውን ስጋ ቀበረ፡፡) After being sated, the dog kept the leftover meat (for some other time).  ",
ተከለ,ቀበሮ, plant ,"ቀበሮ2 /k′äbb#ro/ ግ/v. [yik'«bru, k'³b«r, wok'b³r] (ተከለ {አትክልትን}) plant (seedlings) ኳ ችግኝ ቀበሮ፡፡ (እሱ ችግኝ ተከለ፡፡) He planted seedlings. ",
ማምለጫ ጉድጓድ,ቀበበት,escaping tunnel,ቀበበት /k′äbäb#t/ ስ/n. (ጉድጓድ መሰል ማምለጫ) escaping tunnel ኧፉሪ ሶስት ቀበበት ዪነንት፡፡ (አይጡ ሶስት ማምለጫ ጉድጓዶች አሉት፡፡) The rat has three escaping tunnels. ከ.ረ/K.R. ,
ቀበቶ,ቀበቶ,belt ,ቀበቶ /k′äbätto/ ስ/n. (ቀበቶ) belt ,
ጣምራ ጦር,ቀበኔ,pair of spears ,ቀበኔ /k′äbbänne/ ስ/n. (ጣምራ ጦር) a pair of spears ,
ኣጣ,ቀበጦ,not find,"ቀበጦ1 /k′äbbät′o/ ግ/v. [yik'«bt'u, wok'bët'] (ኣጣ፣ሳያገኝ ቀረ) fail to get, not find ",
ደኸየ,ቀበጦ,impoverished,"ቀበጦ2 /k′äbbät′o/ ግ/v. [yik'#bt'u, wok'b³t'] (ደኸየ፣መነጠ) become poor, be impoverished ",
እጦት, ቅባጭ,impoverishment , ቅባጭ /k'ëbbač'/ ስ/n. (እጦት) impoverishment ,
ቀባ,ቀባው,spread,"ቀባው1 /k′äbbaw/ ግ/v. [yik'#baw, k'ëba, wok'ba] (ቀባ፣ለቀለቀ) paint (a house), spread (butter, honey), smear ",
ለቀለቀ,ቀባው,smear ,"ቀባው1 /k′äbbaw/ ግ/v. [yik'#baw, k'ëba, wok'ba] (ቀባ፣ለቀለቀ) paint (a house), spread (butter, honey), smear ",
,ቀባው,,ቀባው2 /k′äbbaw/ ተመልከት see ሰባው s#bbaw,
,ቀብራራ,,ቀብራራ /k′äbrarra/ ተመልከት see ወሬራ w#rera  ,
, ቀብራርነት ,," ቀብራርነት /k'«brarënn«t/ ተመልከት ""ወሬር ባሎ"" ስር ""ወሬርነት"" see ""w#rer³nn#t"" under  ""w#rer balo"" ",
ቀብር ,ቀብር ,burial ,ቀብር /k′äb³r/ ስ/n. (ቀብር) burial ,
ቀጭቀጭ ኣደረገ,ቀብ ቀብ ኣበሎ,triking sounds ,"ቀብ ቀብ ኣበሎ /k′äbb k′äbb ab«lo/ ግ/v. [k′äbb k′äbb yablu, k′äbb k′äbb wabël] (ቀጭ ቀጭ ኣደረገ) make repeated striking sounds ዎጌሺ ዉስማሪ ቀብ ቀብ ኣበለም ዎቃንት፡፡ (ኣናጢው ሚስማሩን ቀጭ ቀጭ ኣድርጐ መታው፡፡) The carpenter hit the nail repeatedly. ",
ቀጨም ኣረገ,ቀብ ኣበሎ,grab,"ቀብ ኣበሎ /k′äbb ab«lo/ ግ/v. [k′äbb yablu, k′äbb wabël] (ቀብ ኣረገ፣ቀጨም ኣረገ) grab, catch ኣንጋቺ የፉሪ ቀብ ኣበለንትን፡፡ (ድመቷ አይጧን ቀጨም ኣረገቻት፡፡) The cat grabbed  the mouse. ",
ቀብድ,ቀብዱ,advance payment,ቀብዱ1 /k′äbdu/ ስ/n. (ቀብድ፣ የቅድሚያ ክፍያ) partial advance payment ቀብዱ በከፈሉ ተዋጁ ቅጥን:: (ቀብድ ከተከፈለ የመግዛት ያህል ነው::) Making advance payment is nearly the same as buying the thing.,
ሞኝ,ቀብዱ,foolish ,ቀብዱ2 /k′äbdu/ ቅ/adj./ጥንታዊ ቃል/arch. (ሞኝ፣ጅል) foolish ቀብዱ ሰብ ፈጠን ቲገባን፡፡ (ሞኝ ሰው ፈጥኖ ኣይረዳም፡፡) A foolish person is not quick to understand. ,
ችግኝ,ቀቦረ,seedling,ቀቦረ1 /k′äbborä/ ስ/n. (ችግኝ) seedling የኣምብል ቀቦረ ተከልኪ፡፡ (የጐመን ችግኝ ተከልኩኝ፡፡) I planted greens seedlings ,
,ቀቦረ,,ቀቦረ2 /k′äbborä/ ስ/n.  (የሶስተኛ ኣመት የእንሰት ችግኝ) a third year #ss#t seedling ,
,ቀትማን,water restriction,ቀትማን /k′ätman/ ስ/n. (ኣልቅት ማስወገጃ የኣንድ ቀን የውሃ እቀባ {ለከብቶች}) a day long water restriction on cattle (so that they get rid of leeches they have the next day)    ,
ረብሻ,ቀቻ,chaos,"ቀቻ /k'#čča/ ስ/n. (ረብሻ፣ ብጥብጥ፣ ጠብ) riot, chaos, disorder ቀቻ የሰላም መሶኑ፡፡ (ረብሻ የሰላም ጠር ነው፡፡) Public disorder is hostile to peace. ",
ቀን,ቀነ ,day,"ቀነ /k′#n#/ ስ/n. (ቀን፣እለት) day, date የዎዘላ ቀነ (የስራ ቀን) working day ",
ቀነሰ,ቀነስ አበሎ ,reduce ,"ቀነስ አበሎ /k′#n#ss ab«lo/ ግ/v. [k′#n#ss yablu, k′#n#ss yabël, k′#n#ss wabël] (ቀነሰ) reduce  ",
ቀነ ቀጠሮ,ቀነ ቀጠሮ,appointment,ቀነ ቀጠሮ /k'#n# k'#t'#ro/ ስ/n. (ቀነ ቀጠሮ፣የቀጠሮ ቀን) date of appointment,
ኣድርግ,ቀና,perform,"ቀና /k′#nna/ ግ/v. [yik'innaw, wok'«nna] (ኣድርግ፣ስራ) do, perform (imperative form as it doesn't have perfective form)   ",
ነቃነቃ ኣለ,ቀና ቀና ባሎ,getready ,"ቀና ቀና ባሎ1 /k′#na k′#na balo/ ግ/v. [k′#na k′#na yiblu, k′#na k′#na b«l, k′#na k′#na wob«l] (ቀና ቀና ኣለ፣ነቃ ነቃ ኣለ) get ready to do a job ለዎውዘይ ቀና ቀና ባልነም:: (ለስራ ነቃ ነቃ ብለናል::) We are ready to commence the work.",
ኣንሰራራ,ቀና ቀና ባሎ,revive,"ቀና ቀና ባሎ2 /k′#na k′#na balo/ ግ/v. [k′#na k′#na yiblu, k′#na k′#na wob«l] (ቀና ቀና ኣለ፣ኣንሰራራ) revive የጦገሊ ኣምብል ዪጋ ቢያገኝ ቀና ቀና ባሎ፡፡ (የጠወለገው ጐመን ውሃ ሲያገኝ ቀና ቀና ኣለ፡፡) The wilting greens revived when watered. ",
ቀና ኣለ,ቀና ባሎ,straighten up,"ቀና ባሎ /k′#na balo/ ግ/v. [k′#na yiblu, k′#na b«l, k′#na wob«l] (ቀና ኣለ) straighten up ባጉነበሰቦዪ መደር ቀና ባሎ፡፡ (ካጐነበሰበት ቦታ ቀና ኣለ፡፡) He straightened up from a stooping posture.  ",
ልጃገረድ,ቀንዠ,virgin,ቀንዠ /k′#nž#/ ስ/n. [2] (ልጃገረድ፣ ኮረዳ) virgin girl ባዴቦ የሰላት ቀንዠ ገረድ ዪነቱትን:: (ባዴቦ የደረሰች ልጃገረድ ኣለችው::) Badebo has a marriageable girl. ,
ኮረዳ,ቀንዠ,girl ,ቀንዠ /k′#nž#/ ስ/n. [2] (ልጃገረድ፣ ኮረዳ) virgin girl ባዴቦ የሰላት ቀንዠ ገረድ ዪነቱትን:: (ባዴቦ የደረሰች ልጃገረድ ኣለችው::) Badebo has a marriageable girl. ,
ልጃገረድነት,ቀንዥነት,girlhood,ቀንዥነት /k′#nž³nn#t/ ስ/n. (ልጃገረድነት) girlhood (in virginity) ኣቢኛ ዪሚትኛ ያገባ ተቀንዥነትኪን:: (ኣባታችን እናታችንን ያገባው በልጃገረድነቷ ነው::) Our father married our mother during her girlhood. ,
,ቀንዠ ገረድ,, ቀንዠ ገረድ /k'#nž# g#r#d/ ተመልከት see ቀንዠ k#nž#,
,ቀንጠሌሳ,,ቀንጠሌሳ1 /k′#nt′#lessa/ ስ/n. (ኣንዳሁላ) a kind of large leaved plant ,
,ቀንጠሌሳ,,ቀንጠሌሳ2 /k′#nt′#lessa/ ስ/n. (በእንሰት ቅጠል የተጋገረ ጥሩ ቆጮ) quality «kussa bread that is baked in «ss«t leaves  ,
የኣፈር ትል,ቀንጠጢየት,earth worm,"ቀንጠጢየት /k′#nt′#t′iyy#t/ ስ/n. (የኣፈር ትል) earth worm በክርማን ቀንጠጢየት ዪበዛውን፡፡ (በክረምት ""ቀንጠጢየት"" ይበዛል፡፡) k'#nt'#t'iyy#t is numerous during the rainy season. ",
ባለሙያ,ቀንጡ,skillful,"ቀንጡ /k′#nt′u/ ቅ/adj. (ባለሙያ፣ ልባም) meticulous, skillful ጋርሳሜ ቀንጡ ምሽት ነበረት፡፡ (ጋርሳሜ ልባም ሴት ነበረች፡፡) Garsame was a meticulous woman. ",
 ልባም,ቀንጡ,meticulous,"ቀንጡ /k′#nt′u/ ቅ/adj. (ባለሙያ፣ ልባም) meticulous, skillful ጋርሳሜ ቀንጡ ምሽት ነበረት፡፡ (ጋርሳሜ ልባም ሴት ነበረች፡፡) Garsame was a meticulous woman. ",
ተቀናጣ,ቀንጣ ቀንጣ ባሎ,put on airs ,"ቀንጣ ቀንጣ ባሎ /k′#nt′a k′#nt′a balo/ ግ/v. [k′#nt′a k′#nt′a yiblu, k′#nt′a k′#nt′a wob«l] (ተቀናጣ) put on airs ቀንጣ ቀንጣ ዎበል ቲጊባ:: (ኣጉል መቀናጣት ኣይገባም::) Putting on airs is undesirable. ",
,ቀንጦዬ,,"ቀንጦዬ /k′#nt′oyye/ ስ/n. (የሚዋደዱ ሁለት ልጃገረዶች የሚጠራሩበት ቃል) endearing name whereby two bosom girls address each other ደንቦቤና ደዎ ቀንጦዬ ዪትቢቢልማን:: (ደንቦቤና ደዎ ""ቀንጦዬ"" ይባባላሉ::) Denbobe and D«wo address each other k'«nt'oyye. ",
ቀንጨራ,ቀንጨራ,retarded,ቀንጨራ1 /k′#nč′#ra/ ቅ/adj. (ቀንጨራ፣ እድገቱ የቀጨጨ) retarded in physical growth ,
ኣቅመ ቢስ,ቀንጨራ,weakling,"ቀንጨራ2 /k′#nč′#ra/ ቅ/adj. (ኣቅ መቢስ፣ሰናና) weakling, incapable ቀንጨራ ሰብ ተሰብ ወዳወስ ቲጊባን:: (ኣቅመ ቢስ ሰው ከሰው ጋር መደባደብ ኣይገባውም::) A weakling person better avoid fist fighting. ",
እድሜ ጠገብ,ቀንጨራ ጉርዝ,elderly ,ቀንጨራ ጉርዝ /k′#nč′#ra gurz/ ቅ/adj. (እድሜ ጠገብ ሽማግሌ)  elderly ,
,ቀንጪየት,,ቀንጪየት /k′#nč′iy#t/ ተመልከት see ቀምቢየት k′«mbiy«t ,
,ቀንጫ ቀንጫ ባሎ,,ቀንጫ ቀንጫ ባሎ /k′#nč′a k′#nč′a balo/ ተመልከት see ቀንጣ ቀንጣ ባሎ k′#nt′a k′#nt′a balo ,
,ቀንፊየት,,ቀንፊየት /k′#nfiy#t/ ተመልከት see ቀምቢየት k'#mbiy#t,
,ቀንፏ ቀንፏ ባሎ,,ቀንፏ ቀንፏ ባሎ /k′#nfwa k′#nfwa balo/ ተመልከት see ቀምቧ ቀምቧ ባሎ k'#mbwa k'#mbwa balo,
ቀኝ,ቀኘ,right,"ቀኘ1 /k′#ññ#/ ስ/n. (ቀኝ፣የግራ ተቃራኒ) right, not left ",
ቅን,ቀኘ,kind,ቀኘ2 /k′#ññ#/ ቅ/adj. (ቅን ወይም ደግ)  kind በረክ ቀኘ ሰብን፡፡ (በረክ ቀና ሰው ነው፡፡) Barrak is a kind person. ,
,ቀኬ,,ቀኬ /k'#kke/ ተመልከት see ፎትፎታ fotfotta  ,
ተንቀለቀለ,ቀውቀው ባሎ,be restless ,"ቀውቀው ባሎ /k′#wk′#w balo/ ግ/v. [k′#wk′#w yiblu, k′#wk′#w wob«l] (ተንቀለቀለ፣ቀዥቀዥ ኣለ) be restless ",
ቀዥቃዣ,ቀውቃዋ,restless ,ቀውቃዋ /k′#wk′awwa/  ቅ/adj. (ከውካዋ፣ቀዥቃዣ) restless ,
,ቀውጥ,,ቀውጥ /k′#wt′/ ተመልከት see ተምበከሳ t#mb#k#sa ,
በረድ ኣለ,ቀዝቀዝ ባሎ,become cooler,"ቀዝቀዝ ባሎ1 /k′#zk′#zz balo/ ግ/v./ ለሙቀት/of heat [k′#zk′#zz yiblu, k′#zk′#zz wob«l] (ቀዝቀዝ ኣለ፣በረድ ኣለ) become cooler",
ተረጋጋ,ቀዝቀዝ ባሎ,become calmer," ቀዝቀዝ ባሎ2 /k′#zk′#zz balo/ ግ/v./ ለጠባይ/of behavior [k′#zk′#zz yiblu, k′#zk′#zz b«l, k′#zk′#zz wob«l] (ቀዝቀዝ አለ፣ተረጋጋ) become calmer",
ቀዝቃዛ,ቀዝቃዛ,cold ,ቀዝቃዛ /k′#zk′azza/ ቅ/adj. (ቀዝቃዛ) cool or cold ,
,ቀዥቀዥ ባሎ,,ቀዥቀዥ ባሎ /k′#žžk′#ž balo/ ተመልከት see ቀውቀው ባሎ k′#wk′#w balo ,
,ቀዥቃዣ,,ቀዥቃዣ /k′#žk′aža/ ተመልከት see ቀውቃዋ k′#wk′awwa ,
መንደር,ቀየ ,homestead,ቀየ /k′#y#/ ስ/n. (ቀዬ፣መንደር) homestead residential vicinity የኣጣሶ ቀየ ነቆራን፡፡ (የኣጣሶ ቀዬ ነቆራ ነው፡፡) Attaso's home area is Nekora.,
,ቀዮታ,,ቀዮታ /k′#yyota/ ተመልከት see ተምበከሳ t#mb#k#sa ,
ቀደደ,ቀደዶ, perforate,"ቀደዶ /k′#dd#do/ ግ/v. [yik'#ddu, k'³d#d, wok'd³d] (ቀደደ፣በሳ) perforate, tear ውስማሪ ግላጀዲ ቀደደቢው:: (ምስማሩ ሱሪዬን ቀደደብኝ::) The nail tore off my trousers. ",
